31.173.152.3	4153
194.135.15.6	40040
89.237.34.185	51549
77.94.112.234	37182
212.33.240.140	4145
82.151.114.197	46801
194.8.130.36	4153
195.133.153.186	1080
93.159.235.216	4153
77.108.78.19	48079
195.239.178.110	39925
178.72.74.40	31171
109.202.10.22	4153
109.195.194.79	48447
109.252.255.162	38500
188.43.24.9	4153
91.219.100.72	4153
81.163.62.221	50919
78.140.7.239	40009
176.215.190.79	4153
91.105.152.168	4145
188.247.39.14	43032
46.8.247.3	38279
109.233.212.105	4145
83.171.114.92	56129
31.28.99.25	55767
85.90.105.201	42055
83.69.125.126	4145
212.12.20.34	45470
185.132.242.89	4153
92.255.193.156	4145
178.217.40.208	4145
185.75.5.158	43131
89.222.132.31	3629
194.186.168.50	44550
37.235.220.140	4145
31.148.126.39	4145
91.205.146.79	3629
168.194.83.25	44328
217.76.45.235	4153
